sno,sort_order,event_type_mod,side,is_goal,assist_method,shot_outcome_mod,location_mod,Side1_Win,Side2_Win,Draw
0,1,1,2,0,1,2,3,0,0,1
0,2,0,1,0,0,0,6,0,0,1
0,3,0,1,0,0,0,6,0,0,1
0,4,3,1,0,0,0,6,0,0,1
0,5,0,2,0,0,0,2,0,0,1
0,6,0,2,0,0,0,6,0,0,1
0,7,0,2,0,0,0,6,0,0,1
0,8,0,1,0,0,0,2,0,0,1
0,9,3,2,0,0,0,6,0,0,1
0,10,3,2,0,0,0,6,0,0,1
0,11,0,1,0,0,0,1,0,0,1
0,12,1,1,0,1,2,15,0,0,1
0,13,3,2,0,0,0,6,0,0,1
0,14,1,1,1,1,1,3,1,0,0
0,15,1,1,0,0,1,15,1,0,0
0,16,3,1,0,0,0,6,1,0,0
0,17,0,2,0,0,0,1,1,0,0
0,18,1,2,0,0,1,15,1,0,0
0,19,1,1,0,1,1,3,1,0,0
0,20,0,1,0,0,0,6,1,0,0
0,21,1,1,0,0,1,15,1,0,0
0,22,0,1,0,0,0,6,1,0,0
0,23,1,1,0,2,1,3,1,0,0
0,24,0,1,0,0,0,2,1,0,0
0,25,3,2,0,0,0,6,1,0,0
0,26,1,1,0,1,2,3,1,0,0
0,27,1,1,1,1,1,3,1,0,0
0,28,3,1,0,0,0,6,1,0,0
0,29,0,2,0,0,0,1,1,0,0
0,30,0,1,0,0,0,2,1,0,0
0,31,0,2,0,0,0,6,1,0,0
0,32,3,2,0,0,0,6,1,0,0
0,33,3,1,0,0,0,6,1,0,0
0,34,0,2,0,0,0,2,1,0,0
0,35,1,1,0,0,2,3,1,0,0
0,36,3,1,0,0,0,6,1,0,0
0,37,0,2,0,0,0,1,1,0,0
0,38,1,2,0,0,2,15,1,0,0
0,39,1,1,0,2,2,3,1,0,0
0,40,0,1,0,0,0,1,1,0,0
0,41,3,2,0,0,0,6,1,0,0
0,42,7,2,0,0,0,6,1,0,0
0,43,0,1,0,0,0,6,1,0,0
0,44,1,1,0,1,2,3,1,0,0
0,45,4,2,0,0,0,6,1,0,0
0,46,0,1,0,0,0,1,1,0,0
0,47,7,2,0,0,0,6,1,0,0
0,48,3,2,0,0,0,6,1,0,0
0,49,0,1,0,0,0,6,1,0,0
0,50,1,1,0,1,1,3,1,0,0
0,51,1,1,1,0,1,13,1,0,0
0,52,3,1,0,0,0,6,1,0,0
0,53,0,2,0,0,0,2,1,0,0
0,54,3,2,0,0,0,6,1,0,0
0,55,0,1,0,0,0,1,1,0,0
0,56,3,2,0,0,0,6,1,0,0
0,57,0,1,0,0,0,2,1,0,0
0,58,0,1,0,0,0,6,1,0,0
0,59,1,1,0,3,1,15,1,0,0
0,60,0,1,0,0,0,6,1,0,0
0,61,0,2,0,0,0,2,1,0,0
0,62,3,1,0,0,0,6,1,0,0
0,63,0,1,0,0,0,2,1,0,0
0,64,0,2,0,0,0,6,1,0,0
0,65,3,1,0,0,0,6,1,0,0
0,66,3,2,0,0,0,6,1,0,0
0,67,0,1,0,0,0,1,1,0,0
0,68,0,2,0,0,0,2,1,0,0
0,69,3,2,0,0,0,6,1,0,0
0,70,1,2,0,0,1,15,1,0,0
0,71,0,2,0,0,0,6,1,0,0
0,72,1,2,0,2,1,3,1,0,0
0,73,0,1,0,0,0,1,1,0,0
0,74,0,2,0,0,0,6,1,0,0
0,75,3,2,0,0,0,6,1,0,0
0,76,0,1,0,0,0,1,1,0,0
0,77,4,2,0,0,0,6,1,0,0
0,78,3,2,0,0,0,6,1,0,0
0,79,3,1,0,0,0,6,1,0,0
0,80,4,2,0,0,0,6,1,0,0
0,81,0,2,0,0,0,2,1,0,0
0,82,3,1,0,0,0,6,1,0,0
0,83,0,2,0,0,0,6,1,0,0
0,84,7,2,0,0,0,6,1,0,0
0,85,0,2,0,0,0,2,1,0,0
0,86,0,2,0,0,0,6,1,0,0
0,87,3,2,0,0,0,6,1,0,0
0,88,0,1,0,0,0,2,1,0,0
0,89,7,1,0,0,0,6,1,0,0
0,90,7,1,0,0,0,6,1,0,0
0,91,0,2,0,0,0,6,1,0,0
0,92,1,2,0,2,1,3,1,0,0
0,93,1,2,1,0,1,3,1,0,0
0,94,1,2,0,1,1,3,1,0,0
0,95,3,2,0,0,0,6,1,0,0
0,96,0,1,0,0,0,1,1,0,0
0,97,1,1,0,0,2,15,1,0,0
0,98,3,2,0,0,0,6,1,0,0
0,99,0,1,0,0,0,2,1,0,0
